Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
818.0,3.0,5.0,-0.13977322164113481,4.0,4.0,-0.005722841666442072
812.0,3.0,5.0,-0.13977322164113481,4.0,4.0,-0.00572284166644205
780.0,3.0,5.0,-0.14380493975717745,4.0,4.0,-0.009665045582150814
769.0,3.0,5.0,-0.14337976890205334,4.0,4.0,-0.009290524756922257
701.0,3.0,5.0,-0.14337976890205334,4.0,4.0,-0.011511075088562072
716.0,3.0,5.0,-0.13775936810601502,4.0,4.0,-0.005739789344443492
731.0,3.0,5.0,-0.13330186205087857,4.0,4.0,-0.001256725192598528
727.0,3.0,5.0,-0.13330186205087857,4.0,4.0,-0.001256725192598528
712.0,3.0,5.0,-0.13330186205087857,3.0,5.0,-0.12257131237787791
724.0,3.0,5.0,-0.13330186205087857,3.0,5.0,-0.12257131237787791
733.0,3.0,5.0,-0.13966739174033108,3.0,5.0,-0.1298359858392187
698.0,3.0,5.0,-0.13966739174033108,3.0,5.0,-0.12983598583921874
713.0,2.0,6.0,-0.2702584039123124,2.0,6.0,-0.2626343512333417
694.0,2.0,6.0,-0.2702584039123124,2.0,6.0,-0.2626343512333417
695.0,2.0,6.0,-0.2702584039123124,2.0,6.0,-0.2626343512333417
659.0,2.0,6.0,-0.26933000107989696,2.0,6.0,-0.26186965682668234
658.0,2.0,6.0,-0.26933000107989696,2.0,6.0,-0.26186965682668234
629.0,2.0,6.0,-0.26933000107989696,2.0,6.0,-0.26186965682668234
611.0,2.0,6.0,-0.26765832060597644,2.0,6.0,-0.2606411063520793
655.0,3.0,5.0,-0.14030514802301725,3.0,5.0,-0.13049187450154565
624.0,2.0,6.0,-0.2735181499822588,2.0,6.0,-0.26692702417816344
650.0,2.0,6.0,-0.2735181499822588,2.0,6.0,-0.26692702417816344
652.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
676.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
711.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
680.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
659.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
661.0,2.0,6.0,-0.2727671587911325,2.0,6.0,-0.2660264180347239
682.0,2.0,6.0,-0.2758825072121689,2.0,6.0,-0.2695471428565974
698.0,2.0,6.0,-0.2758825072121689,2.0,6.0,-0.2695471428565974
671.0,2.0,6.0,-0.269524073988368,2.0,6.0,-0.26253699872525477
668.0,2.0,6.0,-0.2690375032782586,2.0,6.0,-0.2617864299766316
680.0,2.0,6.0,-0.27060643927122385,2.0,6.0,-0.263539156896738
685.0,2.0,6.0,-0.26858302093457365,2.0,6.0,-0.2619834256400547
714.0,2.0,6.0,-0.26858302093457365,2.0,6.0,-0.2619834256400547
732.0,2.0,6.0,-0.26858302093457365,2.0,6.0,-0.2619834256400547
732.0,2.0,6.0,-0.2732673053485753,2.0,6.0,-0.2665887719343791
707.0,2.0,6.0,-0.2649406828034125,2.0,6.0,-0.2583848188117115
707.0,2.0,6.0,-0.2649406828034125,2.0,6.0,-0.2583848188117115
707.0,2.0,6.0,-0.26512704216226224,2.0,6.0,-0.25834664135755975
679.0,2.0,6.0,-0.26894278088890944,2.0,6.0,-0.2621815666271021
673.0,2.0,6.0,-0.25905863840422083,2.0,6.0,-0.2517789739198357
678.0,2.0,6.0,-0.25905863840422083,2.0,6.0,-0.2517789739198357
660.0,2.0,6.0,-0.25985467672513535,2.0,6.0,-0.25256428415173704
654.0,2.0,6.0,-0.25985467672513535,2.0,6.0,-0.25256428415173704
657.0,2.0,6.0,-0.26850064022461856,2.0,6.0,-0.2618486592268989
658.0,2.0,6.0,-0.27072954752317924,2.0,6.0,-0.2638991702893889
665.0,2.0,6.0,-0.27050276916431404,2.0,6.0,-0.2636765957316843
660.0,2.0,6.0,-0.27050276916431404,2.0,6.0,-0.2636765957316843
634.0,2.0,6.0,-0.27050276916431404,2.0,6.0,-0.2636765957316842
626.0,2.0,6.0,-0.27050276916431404,2.0,6.0,-0.2636765957316842
618.0,2.0,6.0,-0.27050276916431404,2.0,6.0,-0.2636765957316842
637.0,2.0,6.0,-0.26733373443791364,2.0,6.0,-0.25961107863906535
657.0,2.0,6.0,-0.26733373443791364,2.0,6.0,-0.25961107863906535
749.0,3.0,5.0,-0.14699341262862345,3.0,5.0,-0.1425861102022757
666.0,2.0,6.0,-0.2717600777525802,2.0,6.0,-0.2641610676248698
614.0,2.0,6.0,-0.2717600777525802,2.0,6.0,-0.2641610676248698
603.0,2.0,6.0,-0.27064192159948164,2.0,6.0,-0.2634162254943694
610.0,2.0,6.0,-0.27064192159948164,2.0,6.0,-0.2634162254943694
653.0,2.0,6.0,-0.27064192159948164,2.0,6.0,-0.2634162254943694
655.0,2.0,6.0,-0.27462427299794817,2.0,6.0,-0.2676997358501948
633.0,2.0,6.0,-0.27462427299794817,2.0,6.0,-0.2676997358501948
644.0,2.0,6.0,-0.2755801360670153,2.0,6.0,-0.2688456180507302
653.0,2.0,6.0,-0.2755801360670153,2.0,6.0,-0.2688456180507302
679.0,3.0,5.0,-0.1557069468227889,2.0,6.0,-0.2688456180507302
683.0,3.0,5.0,-0.15313339812715016,2.0,6.0,-0.2662029746743467
688.0,3.0,5.0,-0.15313339812715016,2.0,6.0,-0.2662029746743467
695.0,3.0,5.0,-0.15313339812715016,2.0,6.0,-0.2662029746743467
679.0,3.0,5.0,-0.15313339812715016,3.0,5.0,-0.14434614353970335
694.0,3.0,5.0,-0.14784344579688682,3.0,5.0,-0.13994542839963217
689.0,3.0,5.0,-0.14784344579688682,3.0,5.0,-0.13994542839963217
691.0,3.0,5.0,-0.14784344579688682,3.0,5.0,-0.13994542839963214
724.0,3.0,5.0,-0.14784344579688682,3.0,5.0,-0.13994542839963214
769.0,3.0,5.0,-0.14468181607812283,3.0,5.0,-0.13717356842677414
735.0,3.0,5.0,-0.14468181607812283,3.0,5.0,-0.13717356842677414
739.0,3.0,5.0,-0.14468181607812283,4.0,4.0,-0.01789498487140709
741.0,3.0,5.0,-0.14468181607812283,4.0,4.0,-0.01789498487140709
724.0,3.0,5.0,-0.14759445241511238,4.0,4.0,-0.019269828242852446
739.0,3.0,5.0,-0.14759445241511238,4.0,4.0,-0.019269828242852446
739.0,3.0,5.0,-0.14759445241511238,3.0,5.0,-0.13854841179821945
718.0,3.0,5.0,-0.14515172552105027,3.0,5.0,-0.13609627391805315
