Cut Edges,Presidential Democratic Districts,Presidential Republican Districts,Presidential Efficiency Gap,Governor Democratic Districts,Governor Republican Districts,Governor Efficiency Gap
672.0,2.0,6.0,-0.267221425155428,3.0,5.0,-0.1404474158602523
704.0,2.0,6.0,-0.26147513922957066,3.0,5.0,-0.13470247255949833
684.0,2.0,6.0,-0.26147513922957066,3.0,5.0,-0.13470247255949833
690.0,2.0,6.0,-0.26147513922957066,3.0,5.0,-0.13470247255949835
709.0,2.0,6.0,-0.26147513922957066,3.0,5.0,-0.12880138347126377
736.0,2.0,6.0,-0.26000524521374246,4.0,4.0,-0.011087305347477802
744.0,2.0,6.0,-0.26000524521374246,4.0,4.0,-0.01646001847025228
742.0,2.0,6.0,-0.26000524521374246,4.0,4.0,-0.016460018470252274
725.0,2.0,6.0,-0.26237639036731925,3.0,5.0,-0.1351766365400629
774.0,2.0,6.0,-0.26237639036731925,3.0,5.0,-0.1351766365400629
736.0,2.0,6.0,-0.26237639036731925,2.0,6.0,-0.2546942109584198
746.0,2.0,6.0,-0.26237639036731925,2.0,6.0,-0.2546942109584198
752.0,2.0,6.0,-0.26237639036731925,2.0,6.0,-0.2546942109584198
724.0,2.0,6.0,-0.26237639036731925,2.0,6.0,-0.2546942109584198
732.0,2.0,6.0,-0.26203144042825627,2.0,6.0,-0.25435393658065175
756.0,2.0,6.0,-0.26203144042825627,2.0,6.0,-0.25435393658065175
753.0,2.0,6.0,-0.2592107496027522,2.0,6.0,-0.2514402332797909
761.0,2.0,6.0,-0.2592107496027522,2.0,6.0,-0.2514402332797909
722.0,2.0,6.0,-0.265802749109085,3.0,5.0,-0.13393881021518741
651.0,2.0,6.0,-0.265802749109085,3.0,5.0,-0.13393881021518741
660.0,2.0,6.0,-0.265802749109085,3.0,5.0,-0.13393881021518741
657.0,2.0,6.0,-0.265802749109085,3.0,5.0,-0.132186846844164
624.0,2.0,6.0,-0.2676793014609463,3.0,5.0,-0.13471659055347196
648.0,2.0,6.0,-0.2634380833371901,2.0,6.0,-0.25671968706326054
679.0,2.0,6.0,-0.2634380833371901,2.0,6.0,-0.25671968706326054
708.0,3.0,5.0,-0.14788571604881134,3.0,5.0,-0.14300901004310224
671.0,3.0,5.0,-0.1487045864766048,3.0,5.0,-0.1436758003409799
767.0,4.0,4.0,-0.024201107665725613,4.0,4.0,-0.021005913533313682
763.0,3.0,5.0,-0.13656099103685534,4.0,4.0,-0.021005913533313682
779.0,3.0,5.0,-0.13547800867002976,4.0,4.0,-0.019543717039302008
754.0,3.0,5.0,-0.13547800867002976,4.0,4.0,-0.019543717039302008
760.0,3.0,5.0,-0.13604541738017,4.0,4.0,-0.020062930415765682
753.0,3.0,5.0,-0.13274833773005662,4.0,4.0,-0.01710608659171335
767.0,3.0,5.0,-0.13218247172984063,4.0,4.0,-0.016713134991278328
773.0,3.0,5.0,-0.12865398559108931,4.0,4.0,-0.012895007801562712
746.0,3.0,5.0,-0.1354653584486509,4.0,4.0,-0.019760573670864215
743.0,3.0,5.0,-0.13663812653306798,4.0,4.0,-0.019760573670864215
