Cut Edges,Democratic Districts,Republican Districts,Efficiency Gap
764.0,2.0,6.0,-0.2557970410823653
743.0,2.0,6.0,-0.2557970410823653
763.0,2.0,6.0,-0.2557970410823653
763.0,2.0,6.0,-0.2528251646842844
755.0,2.0,6.0,-0.2528251646842844
754.0,2.0,6.0,-0.2540540874099443
699.0,2.0,6.0,-0.26353589114638776
684.0,2.0,6.0,-0.26353589114638776
709.0,2.0,6.0,-0.2582397679764274
743.0,2.0,6.0,-0.2653689390783851
746.0,2.0,6.0,-0.2653689390783851
744.0,2.0,6.0,-0.26397741472670894
752.0,2.0,6.0,-0.25747828635781617
750.0,2.0,6.0,-0.25747828635781617
753.0,2.0,6.0,-0.25747828635781617
749.0,2.0,6.0,-0.2568840344949939
725.0,2.0,6.0,-0.26298884620724766
747.0,2.0,6.0,-0.2573520926860122
770.0,2.0,6.0,-0.25586461177704756
762.0,2.0,6.0,-0.25590163681522965
755.0,2.0,6.0,-0.25590163681522965
738.0,2.0,6.0,-0.25368167723422963
747.0,2.0,6.0,-0.25368167723422963
682.0,2.0,6.0,-0.25368167723422963
671.0,2.0,6.0,-0.2646713256506379
684.0,2.0,6.0,-0.2646713256506379
661.0,2.0,6.0,-0.2646713256506379
697.0,2.0,6.0,-0.2646713256506379
694.0,2.0,6.0,-0.2678921954304932
707.0,2.0,6.0,-0.2678921954304932
731.0,2.0,6.0,-0.2678921954304932
717.0,2.0,6.0,-0.2678921954304932
749.0,3.0,5.0,-0.1289955415683189
759.0,3.0,5.0,-0.1287246417056201
757.0,2.0,6.0,-0.26706715416300275
764.0,2.0,6.0,-0.26706715416300275
827.0,2.0,6.0,-0.26706715416300275
764.0,2.0,6.0,-0.2637848845281622
865.0,2.0,6.0,-0.2637848845281622
844.0,2.0,6.0,-0.2637848845281622
807.0,3.0,5.0,-0.14284352293238303
789.0,3.0,5.0,-0.1425195538482899
795.0,3.0,5.0,-0.14335971367303807
789.0,3.0,5.0,-0.1435997593372518
822.0,2.0,6.0,-0.26454112093303095
730.0,2.0,6.0,-0.26454112093303095
702.0,2.0,6.0,-0.26454112093303095
745.0,2.0,6.0,-0.2684435599574212
698.0,2.0,6.0,-0.27056324339334475
700.0,2.0,6.0,-0.27056324339334475
678.0,3.0,5.0,-0.12979003717930918
663.0,3.0,5.0,-0.12979003717930918
634.0,3.0,5.0,-0.12979003717930918
633.0,3.0,5.0,-0.12979003717930918
612.0,3.0,5.0,-0.12979003717930918
605.0,3.0,5.0,-0.12979003717930918
612.0,3.0,5.0,-0.12979003717930918
614.0,3.0,5.0,-0.12979003717930918
612.0,3.0,5.0,-0.12979003717930918
622.0,3.0,5.0,-0.12979003717930918
587.0,3.0,5.0,-0.12979003717930918
575.0,3.0,5.0,-0.12979003717930918
568.0,3.0,5.0,-0.12979003717930918
551.0,3.0,5.0,-0.12979003717930918
610.0,3.0,5.0,-0.12979003717930918
600.0,3.0,5.0,-0.12979003717930918
616.0,3.0,5.0,-0.12979003717930918
622.0,3.0,5.0,-0.12979003717930918
632.0,3.0,5.0,-0.1341722589901421
574.0,3.0,5.0,-0.1341722589901421
596.0,3.0,5.0,-0.1341722589901421
628.0,3.0,5.0,-0.1341722589901421
628.0,3.0,5.0,-0.1341722589901421
628.0,3.0,5.0,-0.1341722589901421
642.0,2.0,6.0,-0.2747415189521914
654.0,2.0,6.0,-0.2747415189521914
671.0,2.0,6.0,-0.26606346708628376
658.0,2.0,6.0,-0.26606346708628376
671.0,2.0,6.0,-0.26606346708628376
700.0,3.0,5.0,-0.1319217537526419
742.0,3.0,5.0,-0.1319217537526419
759.0,3.0,5.0,-0.13200320883664243
727.0,3.0,5.0,-0.13200320883664243
786.0,3.0,5.0,-0.1288906372934697
788.0,3.0,5.0,-0.13753690933493776
806.0,3.0,5.0,-0.132326252294781
783.0,3.0,5.0,-0.132326252294781
787.0,3.0,5.0,-0.132326252294781
763.0,3.0,5.0,-0.13456287314296292
759.0,3.0,5.0,-0.12092624303852147
761.0,3.0,5.0,-0.1312210549050462
771.0,3.0,5.0,-0.1271029450332454
714.0,3.0,5.0,-0.1271029450332454
670.0,3.0,5.0,-0.12215948535196927
664.0,3.0,5.0,-0.12391755758164792
669.0,3.0,5.0,-0.12391755758164792
697.0,3.0,5.0,-0.12571635735332684
683.0,3.0,5.0,-0.12188735132133105
709.0,3.0,5.0,-0.12430848027645362
727.0,3.0,5.0,-0.12430848027645362
721.0,3.0,5.0,-0.12307647213094522
724.0,3.0,5.0,-0.12307647213094522
703.0,3.0,5.0,-0.12307647213094522
722.0,3.0,5.0,-0.1211801730920535
730.0,3.0,5.0,-0.1211801730920535
751.0,3.0,5.0,-0.1211801730920535
740.0,3.0,5.0,-0.12701408494160843
738.0,3.0,5.0,-0.1242955215130899
724.0,3.0,5.0,-0.12109563258820444
699.0,3.0,5.0,-0.12547014084941607
633.0,3.0,5.0,-0.12547014084941607
655.0,3.0,5.0,-0.12547014084941607
683.0,3.0,5.0,-0.12585766958238842
740.0,3.0,5.0,-0.12585766958238842
736.0,3.0,5.0,-0.12585766958238842
750.0,3.0,5.0,-0.12585766958238842
726.0,2.0,6.0,-0.25211520957714323
707.0,2.0,6.0,-0.2548809799293439
671.0,2.0,6.0,-0.2548809799293439
672.0,2.0,6.0,-0.251351568164638
702.0,2.0,6.0,-0.251351568164638
756.0,2.0,6.0,-0.251351568164638
729.0,2.0,6.0,-0.2515660048441092
771.0,2.0,6.0,-0.24183181376405793
748.0,2.0,6.0,-0.24728807022415575
753.0,2.0,6.0,-0.25020039801916044
757.0,2.0,6.0,-0.25020039801916044
743.0,2.0,6.0,-0.24858888323228584
748.0,2.0,6.0,-0.2500353280572654
754.0,2.0,6.0,-0.24890513876675768
727.0,2.0,6.0,-0.24890513876675768
739.0,2.0,6.0,-0.25506456241033
761.0,2.0,6.0,-0.2459508492618133
736.0,2.0,6.0,-0.2459508492618133
719.0,2.0,6.0,-0.25185140618009594
710.0,2.0,6.0,-0.2539538112648679
727.0,2.0,6.0,-0.255413523395196
737.0,2.0,6.0,-0.255413523395196
696.0,2.0,6.0,-0.25352493790592556
680.0,2.0,6.0,-0.25352493790592556
662.0,3.0,5.0,-0.12225019669551535
709.0,3.0,5.0,-0.12685703707131948
664.0,3.0,5.0,-0.12685703707131948
634.0,3.0,5.0,-0.12653368507119606
614.0,3.0,5.0,-0.12653368507119606
617.0,2.0,6.0,-0.26054118264142795
670.0,2.0,6.0,-0.26260625414603295
700.0,2.0,6.0,-0.26260625414603295
697.0,2.0,6.0,-0.26260625414603295
680.0,2.0,6.0,-0.26260625414603295
636.0,2.0,6.0,-0.2621820089168634
641.0,2.0,6.0,-0.2621820089168634
622.0,2.0,6.0,-0.27206522577559744
633.0,2.0,6.0,-0.27206522577559744
634.0,2.0,6.0,-0.27266996806590454
666.0,2.0,6.0,-0.27266996806590454
672.0,2.0,6.0,-0.2725243362490551
